schools_province,latitude,longitude 
อำนาจเจริญ,15.9949473000239,104.7328575
อ่างทอง,14.6495223998659,100.3170382
กรุงเทพมหานคร,13.82457959977,100.6224463
บึงกาฬ,18.2329562002545,103.8267114
บุรีรัมย์,14.6107100998613,102.6453162
ฉะเชิงเทรา,13.6093191997457,101.5467201
ชัยนาท,15.1453181999245,99.9010244
ชัยภูมิ,16.2720349000556,101.7153824
จันทบุรี,12.9081032996696,102.0159145
เชียงใหม่,18.6951714002921,98.4462684
เชียงราย,19.7589517003607,99.6734592
ชุมพร,10.3782723994582,99.0077685
กาฬสินธุ์,16.5912597000912,103.6525467
กำแพงเพชร,16.418358100072,99.6111616
กาญจนบุรี,14.4401899998413,99.2676727
ขอนแก่น,16.6022387000924,102.6352933
กระบี่,8.11116529939036,99.1097298
ลำปาง,18.6799728002909,99.7332501
ลำพูน,18.2661422002573,98.96749
เลย,17.3158563001681,101.4638277
ลพบุรี,15.0264579999104,100.8089178
แม่ฮ่องสอน,19.3927456003401,98.2031112
มหาสารคาม,15.9041448000134,103.0840638
มุกดาหาร,16.6972385001029,104.3470293
นครนายก,14.1494473998074,101.2177459
นครปฐม,13.8918424997777,100.0165659
นครพนม,17.1990989001562,104.6089459
นครราชสีมา,15.2241916999338,101.9313754
นครสวรรค์,15.7054771999903,99.9288481
นครศรีธรรมราช,8.67723369939503,99.7309635
น่าน,18.7544594002966,100.624804
นราธิวาส,6.32107579942957,101.5972971
หนองบัวลำภู,17.3521009001718,102.2074566
หนองคาย,17.9301421002276,102.4649809
นนทบุรี,13.8610917997742,100.3456772
ปทุมธานี,14.0486669997957,100.5640405
ปัตตานี,6.69974429941464,101.3989917
พังงา,8.50582949939274,98.5680335
พัทลุง,7.54352499939404,99.9971582
พะเยา,19.341673000337,100.1854539
เพชรบูรณ์,16.329317100062,100.9552749
เพชรบุรี,13.0692868996866,99.6044376
พิจิตร,16.4551073000761,100.1924695
พิษณุโลก,16.9779975001331,100.3848239
แพร่,18.2930601002596,100.0886757
พระนครศรีอยุธยา,14.3189467998271,100.5111681
ภูเก็ต,7.9366014993906,98.3529292
ปราจีนบุรี,14.1542054998079,101.5547823
ประจวบคีรีขันธ์,12.0432668995843,99.7487235
ระนอง,10.0469545994403,98.6870133
ราชบุรี,13.6317896997482,99.3558216
ระยอง,12.7943715996577,101.3705344
ร้อยเอ็ด,15.7486447999954,103.7013017
สระแก้ว,13.7686128997637,102.1345352
สกลนคร,17.1904453001553,103.9730898
สมุทรปราการ,13.6531650997506,100.8182578
สมุทรสาคร,13.5708191997414,100.2585874
สมุทรสงคราม,13.3576861997178,99.9619685
สระบุรี,14.6240562998629,100.8601022
สตูล,7.03666819940428,99.9615397
สิงห์บุรี,14.9936715999065,100.3602963
ศรีสะเกษ,14.9221999998981,104.4439596
สงขลา,6.87902209940878,100.5498542
สุโขทัย,17.1446985001506,99.4375845
สุพรรณบุรี,14.6776999998692,100.0350785
สุราษฎร์ธานี,9.46746629941539,98.830042
สุรินทร์,15.0610141999145,103.7613123
ตาก,17.1053568001465,98.9953943
ตรัง,7.58929349939343,99.5032004
ตราด,12.2593543996046,102.4268871
อุบลราชธานี,15.1879683999295,105.3269544
อุดรธานี,17.5211917001887,102.6680012
อุทัยธานี,15.3912083999535,99.4560531
อุตรดิตถ์,17.6251630001988,100.4029452
ยะลา,6.33448459942898,101.1409694
ยโสธร,16.0282186000277,104.2748479
ชลบุรี,13.361143,100.984673
